word,sent,word_es
inability,-2,inability
inaction,-2,en acción
inadequate,-2,inadequate
incapable,-2,incapable
incapacitated,-2,incapacitated
incensed,-2,incensed
incompetence,-2,incompetencia
incompetent,-2,incompetente
inconsiderate,-2,inconsiderate
inconvenience,-2,inconvenience
inconvenient,-2,inconveniente
increase,1,aumentar
increased,1,aumentó
indecisive,-2,indecisive
indestructible,2,indestructible
indifference,-2,indifference
indifferent,-2,indiferente
indignant,-2,indignant
indignation,-2,indignation
indoctrinate,-2,adoctrinar
indoctrinated,-2,indoctrinated
indoctrinates,-2,indicador
indoctrinating,-2,indoctrinating
ineffective,-2,ineffective
ineffectively,-2,ineffectively
infatuated,2,infatuated
infatuation,2,infatuation
infected,-2,infected
inferior,-2,inferior
inflamed,-2,inflamed
influential,2,influential
infringement,-2,infracción
infuriate,-2,enfurecer
infuriated,-2,infuriated
infuriates,-2,infuriates
infuriating,-2,infuriating
inhibit,-1,inhibit
injured,-2,injured
injury,-2,lesión
injustice,-2,injusticia
innovate,1,innovar
innovates,1,innovates
innovation,1,innovación
innovative,2,innovative
inquisition,-2,inquisición
inquisitive,2,inquisitive
insane,-2,insane
insanity,-2,insanity
insecure,-2,insecure
insensitive,-2,insensible
insensitivity,-2,insensibilidad
insignificant,-2,insignificante
insipid,-2,insipid
inspiration,2,inspiración
inspirational,2,inspirational
inspire,2,inspire
inspired,2,inspired
inspires,2,inspires
inspiring,3,inspiring
insult,-2,insulto
insulted,-2,insulted
insulting,-2,insulting
insults,-2,insultos
intact,2,intact
integrity,2,integridad
intelligent,2,intelligent
intense,1,intense
interest,1,interés
interested,2,interested
interesting,2,interesting
interests,1,intereses
interrogated,-2,interrogated
interrupt,-2,interrumpir
interrupted,-2,interrupted
interrupting,-2,interrupting
interruption,-2,interruption
interrupts,-2,interrupciones
intimidate,-2,intimidar
intimidated,-2,intimidated
intimidates,-2,intimidates
intimidating,-2,intimidante
intimidation,-2,intimidation
intricate,2,intricate
intrigues,1,intrigas
invincible,2,invincible
invite,1,invite
inviting,1,inviting
invulnerable,2,invulnerable
irate,-3,irate
ironic,-1,ironic
irony,-1,ironía
irrational,-1,irracional
irresistible,2,irresistible
irresolute,-2,irresolute
irresponsible,2,irresponsable
irreversible,-1,irreversible
irritate,-3,irritar
irritated,-3,irritated
irritating,-3,irritante
isolated,-1,isolated
itchy,-2,que produce picor
jackass,-4,jackass
jackasses,-4,imbéciles
jailed,-2,jailed
jaunty,2,alegre
jealous,-2,jealous
jeopardy,-2,jeopardy
jerk,-3,idiota
jesus,1,Jesús
jewel,1,jewel
jewels,1,joyas
jocular,2,jocular
join,1,unirse
joke,2,broma
jokes,2,jokes
jolly,2,alegre
jovial,2,jovial
joy,3,joy
joyful,3,alegre
joyfully,3,alegremente
joyless,-2,joyless
joyous,3,joyous
jubilant,3,jubilant
jumpy,-1,jumpy
justice,2,justice
justifiably,2,justifiably
justified,2,justified
keen,1,keen
kill,-3,kill
killed,-3,killed
killing,-3,killing
kills,-3,matar
kind,2,kind
kinder,2,kinder
kiss,2,beso
kudos,3,kudos
lack,-2,falta
lackadaisical,-2,lackadaisical
lag,-1,retraso
lagged,-2,lagged
lagging,-2,lagging
lags,-2,lags
lame,-2,lame
landmark,2,punto de referencia
laugh,1,laugh
laughed,1,laughed
laughing,1,laughing
laughs,1,risas
laughting,1,reír
launched,1,lanzado
lawl,3,lawl
lawsuit,-2,lawsuit
lawsuits,-2,demandas
lazy,-1,lazy
leak,-1,filtración
leaked,-1,filtrado
leave,-1,dejar
legal,1,legal
legally,1,legalmente
lenient,1,lenient
lethargic,-2,lethargic
lethargy,-2,lethargy
liar,-3,liar
liars,-3,liars
libelous,-2,libelous
lied,-2,mintió
lifesaver,4,salvador de la vida
lighthearted,1,alegre
like,2,como
liked,2,liked
likes,2,gustos
limitation,-1,limitación
limited,-1,limited
limits,-1,límites
litigation,-1,litigation
litigious,-2,litigious
lively,2,lively
livid,-2,livid
lmao,4,lmao
lmfao,4,lmfao
loathe,-3,detestar
loathed,-3,loathed
loathes,-3,deterioro
loathing,-3,loathing
lobby,-2,vestíbulo
lobbying,-2,cabildeo
lol,3,jajaja
lonely,-2,lonely
lonesome,-2,lonesome
longing,-1,anhelo
loom,-1,telar
loomed,-1,asalto
looming,-1,looming
looms,-1,telares
loose,-3,perder
looses,-3,looses
loser,-3,loser
losing,-3,perdiendo
loss,-3,pérdida
lost,-3,lost
lovable,3,lovable
love,3,amar
loved,3,loved
lovelies,3,lovelies
lovely,3,lovely
loving,2,loving
lowest,-1,el más bajo
loyal,3,leal
loyalty,3,lealtad
luck,3,suerte
luckily,3,luckily
lucky,3,lucky
lugubrious,-2,lúgubre
lunatic,-3,lunatic
lunatics,-3,lunatics
lurk,-1,lurk
lurking,-1,alfombrilla de ratón
lurks,-1,lurks
mad,-3,mad
maddening,-3,maddening
made-up,-1,made-up
madly,-3,locamente
madness,-3,locura
mandatory,-1,mandatory
manipulated,-1,manipulated
manipulating,-1,manipulación
manipulation,-1,manipulation
marvel,3,maravilla
marvelous,3,marvelous
marvels,3,marvels
masterpiece,4,obra maestra
masterpieces,4,obras maestras
matter,1,matter
matters,1,asuntos
mature,2,mature
meaningful,2,meaningful
meaningless,-2,meaningless
medal,3,medal
mediocrity,-3,mediocrity
meditative,1,meditative
melancholy,-2,melancolía
menace,-2,amenaza
menaced,-2,menaced
mercy,2,mercy
merry,3,alegre
mess,-2,desorden
messed,-2,desordenado
messing up,-2,messing up
methodical,2,methodical
mindless,-2,mindless
miracle,4,miracle
mirth,3,mirth
mirthful,3,alegre
mirthfully,3,alegremente
misbehave,-2,portarse mal
misbehaved,-2,malhechado
misbehaves,-2,misbehaves
misbehaving,-2,mal comportamiento
mischief,-1,Travesura
mischiefs,-1,mischiefs
miserable,-3,miserable
misery,-2,miseria
misgiving,-2,recelo
misinformation,-2,desinformación
misinformed,-2,mal informado
misinterpreted,-2,malinterpretado
misleading,-3,misleading
misread,-1,leer mal
misreporting,-2,misreporting
misrepresentation,-2,tergiversación
miss,-2,miss
missed,-2,missed
missing,-2,missing
mistake,-2,error
mistaken,-2,mistaken
mistakes,-2,mistakes
mistaking,-2,confusión
misunderstand,-2,entender mal
misunderstanding,-2,misunderstanding
misunderstands,-2,malinterpretan
misunderstood,-2,misunderstood
moan,-2,gemir
moaned,-2,moaned
moaning,-2,gemido
moans,-2,gemido
mock,-2,mock
mocked,-2,burlado
mocking,-2,mocking
mocks,-2,mocks
mongering,-2,aturdimiento
monopolize,-2,monopolize
monopolized,-2,monopolized
monopolizes,-2,monopolizes
monopolizing,-2,monopolizing
moody,-1,moody
mope,-1,mope
moping,-1,ciclomotor
moron,-3,imbécil
motherfucker,-5,motherfucker
motherfucking,-5,motherfucking
motivate,1,motivar
motivated,2,motivated
motivating,2,motivating
motivation,1,motivación
mourn,-2,mourn
mourned,-2,mourned
mournful,-2,mournful
mourning,-2,mourning
mourns,-2,mourns
mumpish,-2,mumpish
murder,-2,murder
murderer,-2,murderer
murdering,-3,murdering
murderous,-3,murderous
murders,-2,murders
myth,-1,myth
n00b,-2,N00B
naive,-2,naive
nasty,-3,nasty
natural,1,natural
naïve,-2,naïve
needy,-2,needy
negative,-2,negative
negativity,-2,negativity
neglect,-2,neglect
neglected,-2,neglected
neglecting,-2,neglecting
neglects,-2,neglects
nerves,-1,nerves
nervous,-2,nervous
nervously,-2,nervously
nice,3,nice
nifty,2,nifty
niggas,-5,niggas
nigger,-5,nigger
no,-1,no
no fun,-3,no es divertido
noble,2,noble
noisy,-1,noisy
nonsense,-2,disparates
noob,-2,noob
nosey,-2,nosey
not good,-2,no es bueno
not working,-3,not working
notorious,-2,notorious
novel,2,novel
numb,-1,numb
nuts,-3,nuts
obliterate,-2,obliterar
obliterated,-2,obliterated
obnoxious,-3,desagradable
obscene,-2,obscene
obsessed,2,obsessed
obsolete,-2,obsolete
obstacle,-2,obstacle
obstacles,-2,obstacles
obstinate,-2,obstinate
odd,-2,odd
offend,-2,offend
offended,-2,offended
offender,-2,offender
offending,-2,infractor
offends,-2,ofender
offline,-1,offline
oks,2,oks
ominous,3,ominous
once-in-a-lifetime,3,once-in-a-lifetime
opportunities,2,oportunidades
opportunity,2,opportunity
oppressed,-2,oppressed
oppressive,-2,oppressive
optimism,2,optimismo
optimistic,2,optimista
optionless,-2,sin opción
outcry,-2,outcry
outmaneuvered,-2,outmaneuvered
outrage,-3,outrage
outraged,-3,outraged
outreach,2,superar a
outstanding,5,pendiente
overjoyed,4,lleno de alegría
overload,-1,overload
overlooked,-1,pasado por alto
overreact,-2,overreact
overreacted,-2,overreacted
overreaction,-2,reacción exagerada
overreacts,-2,reaccionan exagerados
oversell,-2,oversell
overselling,-2,overselling
oversells,-2,oversells
oversimplification,-2,simplificación excesiva
oversimplified,-2,oversimplified
oversimplifies,-2,oversimplifies
oversimplify,-2,oversimplify
overstatement,-2,exageración
overstatements,-2,overstatements
overweight,-1,exceso de peso
oxymoron,-1,oxymoron
pain,-2,dolor
pained,-2,pained
panic,-3,panic
panicked,-3,panicked
panics,-3,pánico
paradise,3,paraíso
paradox,-1,paradoja
pardon,2,indulto
pardoned,2,pardoned
pardoning,2,pardoning
pardons,2,indultos
parley,-1,parlamentar
passionate,2,passionate
passive,-1,passive
passively,-1,passively
pathetic,-2,pathetic
pay,-1,pay
peace,2,paz
peaceful,2,peaceful
peacefully,2,pacíficamente
penalty,-2,penalty
pensive,-1,pensive
perfect,3,perfect
perfected,2,perfected
perfectly,3,perfectamente
perfects,2,perfects
peril,-2,peril
perjury,-3,perjury
perpetrator,-2,perpetrator
perpetrators,-2,perpetrators
perplexed,-2,perplexed
persecute,-2,persecute
persecuted,-2,persecuted
persecutes,-2,persecutes
persecuting,-2,persecuting
perturbed,-2,perturbed
pesky,-2,pesky
pessimism,-2,pessimism
pessimistic,-2,pesimista
petrified,-2,petrified
phobic,-2,phobic
picturesque,2,picturesque
pileup,-1,amontonar
pique,-2,pique
piqued,-2,piqued
piss,-4,orinar
pissed,-4,pissed
pissing,-3,pissing
piteous,-2,piteous
pitied,-1,pitied
pity,-2,lástima
playful,2,playful
pleasant,3,pleasant
please,1,por favor
pleased,3,pleased
pleasure,3,placer
poised,-2,poised
poison,-2,veneno
poisoned,-2,poisoned
poisons,-2,venenos
pollute,-2,contaminar
polluted,-2,polluted
polluter,-2,polluter
polluters,-2,polluters
pollutes,-2,pollutes
poor,-2,pobre
poorer,-2,poorer
poorest,-2,más pobre
popular,3,popular
positive,2,positive
positively,2,afirmativamente
possessive,-2,possessive
postpone,-1,posponer
postponed,-1,postponed
postpones,-1,postpones
postponing,-1,posponería
poverty,-1,poverty
powerful,2,powerful
powerless,-2,impotente
praise,3,elogio
praised,3,praised
praises,3,alabanza
praising,3,elogio
pray,1,orar
praying,1,Orando
prays,1,reza
prblm,-2,prblm
prblms,-2,PRBLMS
prepared,1,prepared
pressure,-1,presión
pressured,-2,pressured
pretend,-1,pretender
pretending,-1,pretending
pretends,-1,fingir
pretty,1,pretty
prevent,-1,prevenir
prevented,-1,prevented
preventing,-1,prevenir
prevents,-1,evitan
prick,-5,prick
prison,-2,prisión
prisoner,-2,prisoner
prisoners,-2,prisoners
privileged,2,privileged
proactive,2,proactive
problem,-2,problem
problems,-2,problemas
profiteer,-2,acaparador
progress,2,progress
prominent,2,prominent
promise,1,promesa
promised,1,promised
promises,1,promises
promote,1,promover
promoted,1,promoted
promotes,1,promociona
promoting,1,promoviendo
propaganda,-2,propaganda
prosecute,-1,prosecute
prosecuted,-2,prosecuted
prosecutes,-1,enjuiciamiento
prosecution,-1,enjuiciamiento
prospect,1,prospecto
prospects,1,prospectos
prosperous,3,prosperous
protect,1,proteger
protected,1,protected
protects,1,protege
protest,-2,protesta
protesters,-2,protesters
protesting,-2,protesting
protests,-2,protestas
proud,2,proud
proudly,2,con orgullo
provoke,-1,provoke
provoked,-1,provoked
provokes,-1,provoca
provoking,-1,provoking
pseudoscience,-3,pseudociencia
punish,-2,castigar
punished,-2,punished
punishes,-2,castigar
punitive,-2,punitivo
pushy,-1,pushy
puzzled,-2,puzzled
quaking,-2,quaking
questionable,-2,cuestionable
questioned,-1,questioned
questioning,-1,interrogatorio
racism,-3,racismo
racist,-3,racista
racists,-3,racists
rage,-2,furia
rageful,-2,rageful
rainy,-1,rainy
rant,-3,despotricar
ranter,-3,ranter
ranters,-3,pilotas
rants,-3,diatriba
rape,-4,violación
rapist,-4,rapist
rapture,2,rapto
raptured,2,con rapto
raptures,2,éxtasis
rapturous,4,rapturous
rash,-2,rash
ratified,2,ratified
reach,1,alcanzar
reached,1,alcanzó
reaches,1,reaches
reaching,1,alcance
reassure,1,tranquilizar
reassured,1,reassured
reassures,1,tranquilizar
reassuring,2,reassuring
rebellion,-2,rebelión
recession,-2,recession
reckless,-2,imprudente
recommend,2,recomendar
recommended,2,recommended
recommends,2,recommends
redeemed,2,redeemed
refuse,-2,rechazar
refused,-2,refused
refusing,-2,refusing
regret,-2,arrepentirse
regretful,-2,regretful
regrets,-2,remordimientos
regretted,-2,regretted
regretting,-2,lamentando
reject,-1,rechazar
rejected,-1,rejected
rejecting,-1,rejecting
rejects,-1,rejects
rejoice,4,alegrarse
rejoiced,4,rejoiced
rejoices,4,regocijo
rejoicing,4,rejoicing
relaxed,2,relaxed
relentless,-1,implacable
reliant,2,reliant
relieve,1,aliviar
relieved,2,relieved
relieves,1,alivio
relieving,2,relieving
relishing,2,sabor
remarkable,2,notable
remorse,-2,remorse
repulse,-1,rechazar
repulsed,-2,repulsed
rescue,2,rescue
rescued,2,rescatada
rescues,2,rescate
resentful,-2,resentful
resign,-1,resign
resigned,-1,renunciar
resigning,-1,renuncia
resigns,-1,renuncia
resolute,2,resolute
resolve,2,resolver
resolved,2,resolved
resolves,2,resolves
resolving,2,resolución
respected,2,respected
responsible,2,responsable
responsive,2,sensible
restful,2,restful
restless,-2,restless
restore,1,restaurar
restored,1,restored
restores,1,restaurantes
restoring,1,restauración
restrict,-2,restringir
restricted,-2,restricted
restricting,-2,restricting
restriction,-2,restricción
restricts,-2,restricts
retained,-1,retained
retard,-2,retardar
retarded,-2,retarded
retreat,-1,retreat
revenge,-2,venganza
revengeful,-2,revengeful
revered,2,revered
revive,2,reanimar
revives,2,revives
reward,2,premio
rewarded,2,rewarded
rewarding,2,gratificante
rewards,2,recompensas
rich,2,rich
ridiculous,-3,ridiculous
rig,-1,rig
rigged,-1,rigged
right direction,3,right direction
rigorous,3,rigorous
rigorously,3,rigurosamente
riot,-2,riot
riots,-2,riots
risk,-2,riesgo
risks,-2,risks
rob,-2,robar
robber,-2,ladrón
robed,-2,con techo
robing,-2,túnica
robs,-2,robo
robust,2,robust
rofl,4,rofl
roflcopter,4,roflcopter
roflmao,4,roflmao
romance,2,romance
rotfl,4,rotfl
rotflmfao,4,rotflmfao
rotflol,4,rotflol
ruin,-2,ruina
ruined,-2,ruined
ruining,-2,ruina
ruins,-2,restos
sabotage,-2,sabotage
sad,-2,triste
sadden,-2,entristecer
saddened,-2,triste
sadly,-2,desafortunadamente
safe,1,safe
safely,1,sin peligro
safety,1,safety
salient,1,saliente
sappy,-1,lleno de savia
sarcastic,-2,sarcastic
satisfied,2,satisfied
save,2,ahorrar
saved,2,salvado
scam,-2,scam
scams,-2,estafa
scandal,-3,escándalo
scandalous,-3,scandalous
scandals,-3,escándalos
scapegoat,-2,chivo expiatorio
scapegoats,-2,chivo expiatorio
scare,-2,susto
scared,-2,scared
scary,-2,scary
sceptical,-2,sceptical
scold,-2,scold
scoop,3,cucharón
scorn,-2,desdén
scornful,-2,scornful
scream,-2,gritar
screamed,-2,screamed
screaming,-2,gritando
screams,-2,carcajadas
screwed,-2,screwed
screwed up,-3,atornillado
scumbag,-4,escoria
secure,2,secure
secured,2,secured
secures,2,secures
sedition,-2,sedición
seditious,-2,seditious
seduced,-1,seduced
self-confident,2,seguro de sí mismo
self-deluded,-2,autosavón
selfish,-3,selfish
selfishness,-3,egoísmo
sentence,-2,sentence
sentenced,-2,sentenced
sentences,-2,oraciones
sentencing,-2,sentencia
serene,2,serene
severe,-2,severe
sexy,3,sexy
shaky,-2,shaky
shame,-2,lástima
shamed,-2,shamed
shameful,-2,shameful
share,1,compartir
shared,1,shared
shares,1,Comparte
shattered,-2,roto
shit,-4,mierda
shithead,-4,gilipollas
shitty,-3,de mierda
shock,-2,choque
shocked,-2,shocked
shocking,-2,impactante
shocks,-2,shocks
shoot,-1,disparar
short-sighted,-2,short-sighted
short-sightedness,-2,miopía
shortage,-2,escasez
shortages,-2,escasez
shrew,-4,musaraña
shy,-1,shy
sick,-2,sick
sigh,-2,suspiro
significance,1,significance
significant,1,significant
silencing,-1,silenciamiento
silly,-1,silly
sincere,2,sincere
sincerely,2,atentamente
sincerest,2,sincerest
sincerity,2,sincerity
sinful,-3,sinful
singleminded,-2,soltero
skeptic,-2,skeptic
skeptical,-2,skeptical
skepticism,-2,skepticism
skeptics,-2,skeptics
slam,-2,golpe
slash,-2,barra oblicua
slashed,-2,cortado
slashes,-2,barras
slashing,-2,cuchillada
slavery,-3,slavery
sleeplessness,-2,insomnio
slick,2,slick
slicker,2,impermeable
slickest,2,más tosco
sluggish,-2,sluggish
slut,-5,puta
smart,1,elegante
smarter,2,más inteligente
smartest,2,más inteligente
smear,-2,frotis
smile,2,sonrisa
smiled,2,sonreír
smiles,2,sonreír
smiling,2,sonriente
smog,-2,niebla tóxica
sneaky,-1,furtivo
snub,-2,desaire
snubbed,-2,snubbed
snubbing,-2,desaguita
snubs,-2,desahogadores
sobering,1,alucinante
solemn,-1,solemne
solid,2,solid
solidarity,2,solidarity
solution,1,solución
solutions,1,soluciones
solve,1,resolver
solved,1,resuelto
solves,1,resolución
solving,1,resolución
somber,-2,somber
some kind,0,algún tipo
son-of-a-bitch,-5,Hijo de puta
soothe,3,soothe
soothed,3,soothed
soothing,3,calmante
sophisticated,2,sophisticated
sore,-1,sore
sorrow,-2,pena
sorrowful,-2,triste
sorry,-1,sorry
spam,-2,correo basura
spammer,-3,spammer
spammers,-3,spammers
spamming,-2,spamming
spark,1,Chispa - chispear
sparkle,3,sparkle
sparkles,3,chispas
sparkling,3,sparkling
speculative,-2,speculative
spirit,1,espíritu
spirited,2,spirited
spiritless,-2,sin ánimo
spiteful,-2,spiteful
splendid,3,splendid
sprightly,2,sprightly
squelched,-1,squelched
stab,-2,puñalada
stabbed,-2,stabbed
stable,2,estable
stabs,-2,apuñalamiento
stall,-2,parar
stalled,-2,parado
stalling,-2,estancamiento
stamina,2,aguante
stampede,-2,estampida
startled,-2,startled
starve,-2,starve
starved,-2,starved
starves,-2,starves
starving,-2,starving
steadfast,2,firme
steal,-2,steal
steals,-2,robo
stereotype,-2,stereotype
stereotyped,-2,esteriotipado
stifled,-1,stifled
stimulate,1,estimular
stimulated,1,stimulated
stimulates,1,stimulates
stimulating,2,estimulante
stingy,-2,stingy
stolen,-2,stolen
stop,-1,detener
stopped,-1,stopped
stopping,-1,parada
stops,-1,parada
stout,2,cerveza negra
straight,1,straight
strange,-1,strange
strangely,-1,extrañamente
strangled,-2,strangled
strength,2,fortaleza
strengthen,2,strengthen
strengthened,2,strengthened
strengthening,2,strengthening
strengthens,2,strengthens
stressed,-2,stressed
stressor,-2,estresante
stressors,-2,estresores
stricken,-2,stricken
strike,-1,strike
strikers,-2,huelguistas
strikes,-1,strikes
strong,2,strong
stronger,2,stronger
strongest,2,strongest
struck,-1,struck
struggle,-2,struggle
struggled,-2,struggled
struggles,-2,luchas
struggling,-2,struggling
stubborn,-2,stubborn
stuck,-2,stuck
stunned,-2,stunned
stunning,4,stunning
stupid,-2,stupid
stupidly,-2,estúpidamente
suave,2,afable
substantial,1,substantial
substantially,1,sustancialmente
subversive,-2,subversive
success,2,éxito
successful,3,successful
suck,-3,suck
sucks,-3,chupa
suffer,-2,sufrir
suffering,-2,suffering
suffers,-2,sufre
suicidal,-2,suicidal
suicide,-2,suicidio
suing,-2,demandar
sulking,-2,sulking
sulky,-2,sulky
sullen,-2,sullen
sunshine,2,sunshine
super,3,super
superb,5,superb
superior,2,superior
support,2,support
supported,2,supported
supporter,1,supporter
supporters,1,supporters
supporting,1,supporting
supportive,2,apoyo
supports,2,supports
survived,2,sobrevivió
surviving,2,sobreviviente
survivor,2,survivor
suspect,-1,suspect
suspected,-1,suspected
suspecting,-1,sospecha
suspects,-1,suspects
suspend,-1,suspend
suspended,-1,suspended
suspicious,-2,suspicious
swear,-2,swear
swearing,-2,maldición
swears,-2,maldita
sweet,2,sweet
swift,2,swift
swiftly,2,rápidamente
swindle,-3,estafa
swindles,-3,swindles
swindling,-3,swindling
sympathetic,2,sympathetic
sympathy,2,compasión
tard,-2,tardar
tears,-2,lágrimas
tender,2,licitación
tense,-2,tense
tension,-1,tension
terrible,-3,terrible
terribly,-3,terriblemente
terrific,4,terrific
terrified,-3,terrified
terror,-3,terror
terrorize,-3,terrorize
terrorized,-3,terrorized
terrorizes,-3,terrorizes
thank,2,agradecer
thankful,2,thankful
thanks,2,thanks
thorny,-2,thorny
thoughtful,2,thoughtful
thoughtless,-2,thoughtless
threat,-2,threat
threaten,-2,amenazar
threatened,-2,threatened
threatening,-2,amenazante
threatens,-2,amenazar
threats,-2,threats
thrilled,5,thrilled
thwart,-2,frustrar
thwarted,-2,thwarted
thwarting,-2,thwarting
thwarts,-2,frwarts
timid,-2,timid
timorous,-2,timorous
tired,-2,tired
tits,-2,tetas
tolerant,2,tolerante
toothless,-2,sin dientes
top,2,arriba
tops,2,tops
torn,-2,torn
torture,-4,torture
tortured,-4,tortured
tortures,-4,tortura
torturing,-4,torturing
totalitarian,-2,totalitarian
totalitarianism,-2,totalitarianism
tout,-2,tout
touted,-2,touted
touting,-2,touting
touts,-2,touts
tragedy,-2,tragedy
tragic,-2,tragic
tranquil,2,tranquil
trap,-1,trampa
trapped,-2,trapped
trauma,-3,trauma
traumatic,-3,traumatic
travesty,-2,parodia
treason,-3,traición
treasonous,-3,de traición
treasure,2,tesoro
treasures,2,tesoros
trembling,-2,temblor
tremulous,-2,tremulous
tricked,-2,tricked
trickery,-2,astucia
triumph,4,triunfo
triumphant,4,triunfante
trouble,-2,trouble
troubled,-2,troubled
troubles,-2,troubles
true,2,verdadero
trust,1,confianza
trusted,2,trusted
tumor,-2,tumor
twat,-5,coño
ugly,-3,ugly
unacceptable,-2,inaceptable
unappreciated,-2,no apreciado
unapproved,-2,unapproved
unaware,-2,inconsciente
unbelievable,-1,unbelievable
unbelieving,-1,unbelieving
unbiased,2,imparcial
uncertain,-1,uncertain
unclear,-1,unclear
uncomfortable,-2,uncomfortable
unconcerned,-2,unconcerned
unconfirmed,-1,inconfirmado
unconvinced,-1,unconvinced
uncredited,-1,no acreditado
undecided,-1,undecided
underestimate,-1,subestimar
underestimated,-1,underestimated
underestimates,-1,underestimates
underestimating,-1,desestimación
undermine,-2,undermine
undermined,-2,undermined
undermines,-2,socava
undermining,-2,undermining
undeserving,-2,undeserving
undesirable,-2,indeseable
uneasy,-2,uneasy
unemployment,-2,unemployment
unequal,-1,unequal
unequaled,2,inigualable
unethical,-2,poco ético
unfair,-2,unfair
unfocused,-2,unfocused
unfulfilled,-2,unfulfilled
unhappy,-2,infeliz
unhealthy,-2,insalubre
unified,1,unified
unimpressed,-2,no impresionado
unintelligent,-2,ininteligente
united,1,united
unjust,-2,unjust
unlovable,-2,unlovable
unloved,-2,no amado
unmatched,1,sin par
unmotivated,-2,unmotivated
unprofessional,-2,no profesional
unresearched,-2,no investigado
unsatisfied,-2,unsatisfied
unsecured,-2,unsecured
unsettled,-1,inestable
unsophisticated,-2,unsophisticated
unstable,-2,unstable
unstoppable,2,unstoppable
unsupported,-2,sin apoyo
unsure,-1,unsure
untarnished,2,no talado
unwanted,-2,unwanted
unworthy,-2,indigno de
upset,-2,upset
upsets,-2,upsets
upsetting,-2,upsetting
uptight,-2,uptight
urgent,-1,urgent
useful,2,useful
usefulness,2,usefulness
useless,-2,useless
uselessness,-2,inutilidad
vague,-2,vague
validate,1,validate
validated,1,validated
validates,1,validates
validating,1,validating
verdict,-1,veredicto
verdicts,-1,veredictos
vested,1,vested
vexation,-2,vejación
vexing,-2,irregular
vibrant,3,vibrante
vicious,-2,vicious
victim,-3,víctima
victimize,-3,victimize
victimized,-3,víctima
victimizes,-3,víctimas
victimizing,-3,víctima
victims,-3,victims
vigilant,3,vigilante
vile,-3,vil
vindicate,2,vindicar
vindicated,2,vindicated
vindicates,2,vindicates
vindicating,2,reivindicación
violate,-2,violar
violated,-2,violated
violates,-2,violar
violating,-2,violating
violence,-3,violence
violent,-3,violent
virtuous,2,virtuous
virulent,-2,virulent
vision,1,visión
visionary,3,visionary
visioning,1,visión
visions,1,visiones
vitality,3,vitality
vitamin,1,vitamin
vitriolic,-3,vitriolic
vivacious,3,vivacious
vociferous,-1,vociferous
vulnerability,-2,vulnerability
vulnerable,-2,vulnerable
walkout,-2,salir
walkouts,-2,huelga
wanker,-3,wanker
want,1,want
war,-2,guerra
warfare,-2,warfare
warm,1,warm
warmth,2,warmth
warn,-2,advertir
warned,-2,warned
warning,-3,warning
warnings,-3,advertencias
warns,-2,advertencia
was,0,era
waste,-1,desperdiciar
wasted,-2,wasted
wasting,-2,debilitante
wavering,-1,wavering
weak,-2,weak
weakness,-2,debilidad
wealth,3,wealth
wealthy,2,wealthy
weary,-2,weary
weep,-2,llorar
weeping,-2,weeping
weird,-2,weird
welcome,2,welcome
welcomed,2,welcomed
welcomes,2,bienvenida
whimsical,1,whimsical
whitewash,-3,encalar
whore,-4,whore
wicked,-2,wicked
widowed,-1,widowed
willingness,2,voluntad
win,4,win
winner,4,winner
winning,4,winning
wins,4,victorias
winwin,3,Winwin
wish,1,wish
wishes,1,deseos
wishing,1,deseando
withdrawal,-3,retiro
woebegone,-2,woebegone
woeful,-3,lamentable
won,3,won
wonderful,4,wonderful
woo,3,cortejar
woohoo,3,Woohoo
wooo,4,wooo
woow,4,woow
worn,-1,worn
worried,-3,worried
worry,-3,worry
worrying,-3,preocupante
worse,-3,peor
worsen,-3,empeorar
worsened,-3,worsened
worsening,-3,worsening
worsens,-3,empeoramiento
worshiped,3,worshiped
worst,-3,worst
worth,2,valer
worthless,-2,sin valor
worthy,2,worthy
wow,4,wow
wowow,4,wowow
wowww,4,wowww
wrathful,-3,wrathful
wreck,-2,wreck
wrong,-2,equivocado
wronged,-2,wronged
wtf,-4,wtf
yeah,1,sí
yearning,1,anhelo
yeees,2,yeees
yes,1,yes
youthful,2,youthful
yucky,-2,asqueroso
yummy,3,yummy
zealot,-2,zealot
zealots,-2,zealots
zealous,2,zealous
